letter,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,l2b.started,l2b.stopped,cross_3.started,cross_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,age,gender,date,expName,psychopyVersion,frameRate,
6,0,0,0,16,29.85450449999189,30.366924200032372,30.19978180003818,None,space,0.42422590003116056,29.85450449999189,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,1,1,5,31.671109099988826,32.183297400013544,32.166107000026386,None,None,,31.671109099988826,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,2,2,17,33.58264869998675,34.0827888000058,34.065896400017664,35.56671730004018,None,,33.58264869998675,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,3,3,19,35.58329370000865,36.08355450001545,36.06667590001598,37.5661628000089,space,0.4255354999913834,35.58329370000865,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,4,4,10,37.5824491000385,38.08269740000833,38.066106499987654,39.56587029999355,space,0.7433649000013247,37.5824491000385,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
1,0,5,5,33,39.592604300007224,40.098972300009336,40.08338060003007,None,None,,39.592604300007224,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
4,0,6,6,7,41.5917308999924,42.09884360001888,42.08221500000218,None,None,,41.5917308999924,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,7,7,18,43.58465490001254,44.09863309998764,44.065503099991474,45.56557640002575,None,,43.58465490001254,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,8,8,27,45.58196370000951,46.08202590001747,46.06687380000949,None,None,,45.58196370000951,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
4,0,9,9,9,47.58427779999329,48.09857229999034,48.06499149999581,49.56514670001343,None,,47.58427779999329,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
1,0,10,10,34,49.58447340002749,50.09831920004217,50.06497320003109,51.56498319999082,None,,49.58447340002749,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,11,11,26,51.58416239998769,52.09817800001474,52.06562410003971,53.56492370000342,None,,51.58416239998769,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,12,12,30,53.590263699996285,54.09793540003011,54.08138099999633,None,None,,53.590263699996285,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,13,13,3,55.58544900000561,56.09792520001065,56.0645429000142,57.564426700002514,None,,55.58544900000561,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
4,0,14,14,13,57.58378530002665,58.0977939000004,58.064351200009696,59.56432320002932,None,,57.58378530002665,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
2,0,15,15,29,59.58792700001504,60.09751280001365,60.08221040002536,None,None,,59.58792700001504,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,16,16,20,61.58421200001612,62.09733930003131,62.06399420002708,63.56429579999531,None,,61.58421200001612,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,17,17,8,63.583144500036724,64.09712440002477,64.0647403000039,65.5639278999879,None,,63.583144500036724,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
2,0,18,18,31,65.58320300001651,66.09713010000996,66.06363160000183,67.56374670000514,None,,65.58320300001651,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,19,19,12,67.58276600000681,68.0969621000113,68.06472890003351,None,space,0.5672393999993801,67.58276600000681,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,20,20,1,69.58079879998695,70.08012530003907,70.06341569998767,71.56364120001672,None,,69.58079879998695,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
7,0,21,21,11,71.58037959999638,72.0799625000218,72.0636423000251,73.56369020004058,space,0.8407958000316285,71.58037959999638,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,22,22,24,73.58334499999182,74.09662180003943,74.06341619999148,75.56324160000077,None,,73.58334499999182,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,23,23,4,75.59632240002975,76.09668479999527,76.0800506999949,77.58071469998686,space,0.7435421000118367,75.59632240002975,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,24,24,25,77.60025210003369,78.1131317000254,78.07940620003501,79.57961700001033,None,,77.60025210003369,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,25,25,28,79.59906330000376,80.1127581000328,80.07947619998595,81.57942220004043,space,0.9477207000018097,79.59906330000376,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
4,0,26,26,15,81.5986275000032,82.1128792000236,82.07907939999131,83.57928270002594,None,,81.5986275000032,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
1,0,27,27,21,83.59858550003264,84.09644860000117,84.0810618000105,None,None,,83.59858550003264,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,28,28,2,85.59805949998554,86.11226910003461,86.07955389999552,87.57905290002236,None,,85.59805949998554,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
2,0,29,29,6,87.59864089998882,88.11212659999728,88.07885500002885,89.5791462000343,None,,87.59864089998882,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
1,0,30,30,23,89.59783159999643,90.11212290002732,90.07876260002377,91.57864469999913,None,,89.59783159999643,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
5,0,31,31,32,91.59766999998828,92.11190740001621,92.07851369999116,93.57841930002905,None,,91.59766999998828,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,32,32,14,93.59724969998933,94.11178939999081,94.0780303000356,95.57831509999232,None,,93.59724969998933,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,33,33,22,95.59554549999302,96.0949153000256,96.07821629999671,97.57810660003452,space,0.69069869996747,95.59554549999302,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
6,0,34,34,0,97.59469490003539,98.09470310003962,98.07864010002231,99.57803590002004,space,0.4833068000152707,97.59469490003539,None,,,2020_Jul_15_1256,torte,2020.1.3,60.01118607245317,
