key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,Feedback,train.thisRepN,train.thisTrialN,train.thisN,train.thisIndex,train.ran,torta_sx,torta_dx,difference,probability,age,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_15.keys,key_resp_15.rt,key_resp_6.keys,key_resp_6.rt,test1.thisRepN,test1.thisTrialN,test1.thisN,test1.thisIndex,test1.ran,key_resp_16.keys,key_resp_16.rt,key_resp_7.keys,key_resp_7.rt,test2.thisRepN,test2.thisTrialN,test2.thisN,test2.thisIndex,test2.ran,rating.response,rating.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_14.keys,key_resp_14.rt
space,1.803835,space,3.408695,space,0.608345,space,1.61739,space,37.61168,space,82.955125,,Too slow :(,0,0,0,24,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,1,1,97,1,t5.png,t5.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.52929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,2,2,66,1,t4.png,t5.png,1,0.9,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.249655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,3,3,7,1,t4.png,t5.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.98073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,4,4,99,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.679445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,5,5,88,1,t3.png,t1.png,2,0.056466,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.65554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,6,6,104,1,t2.png,t3.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.34717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,7,7,68,1,t1.png,t4.png,3,0.0000131,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.581585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,8,8,28,1,t2.png,t3.png,1,0.909,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.93169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,9,9,47,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.63926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,10,10,72,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.69886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,11,11,26,1,t4.png,t2.png,2,0.0591,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.633575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,12,12,27,1,t3.png,t1.png,2,0.0565,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.62238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,13,13,95,1,t1.png,t1.png,0,0.978,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.602885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,14,14,90,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.560075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,15,15,4,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.812595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,16,16,15,1,t3.png,t2.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.45105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,17,17,91,1,t1.png,t4.png,3,0.0000131,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.4339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,18,18,98,1,t2.png,t4.png,2,0.0591,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.49151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,19,19,119,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.407115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,20,20,118,1,t5.png,t5.png,0,0.978,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.911515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,21,21,45,1,t3.png,t2.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.561635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,22,22,78,1,t1.png,t1.png,0,0.978,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.817755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,23,23,87,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,24,24,19,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.56786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,25,25,93,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.57843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,26,26,94,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.71858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,27,27,73,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.76817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,28,28,11,1,t1.png,t4.png,3,0.0000131,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.4513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,29,29,77,1,t1.png,t1.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,30,30,18,1,t4.png,t5.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.672275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,31,31,51,1,t3.png,t1.png,2,0.056466,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.801555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,32,32,1,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.58094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,33,33,23,1,t5.png,t4.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.401225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,34,34,44,1,t2.png,t3.png,1,0.909,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.226445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,35,35,25,1,t5.png,t5.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.563545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,36,36,107,1,t1.png,t1.png,0,0.978,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,2.101635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,37,37,80,1,t1.png,t4.png,3,0.0000131,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.80296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,38,38,117,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.43786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,39,39,5,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.48453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,40,40,114,1,t2.png,t3.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.591535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,41,41,100,1,t4.png,t5.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.46494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,42,42,57,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.46887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,43,43,48,1,t5.png,t5.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.429205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,44,44,84,1,t1.png,t1.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.4292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,45,45,81,1,t1.png,t1.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.53863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,46,46,85,1,t3.png,t2.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.247635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,47,47,108,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.97663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,48,48,89,1,t1.png,t4.png,3,0.0000131,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.479785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,49,49,79,1,t3.png,t2.png,1,0.909,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.58529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,50,50,65,1,t4.png,t5.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,1.40105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,51,51,43,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.518225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,52,52,83,1,t3.png,t1.png,2,0.056466,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.65459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,53,53,21,1,t5.png,t4.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.56814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,54,54,13,1,t5.png,t5.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.379975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,55,55,12,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,2.425835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,56,56,31,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.443795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,57,57,42,1,t5.png,t4.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.596475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,58,58,33,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.41822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,59,59,60,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.57485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,60,60,101,1,t4.png,t5.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.39325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,61,61,111,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.480055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,62,62,56,1,t5.png,t1.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,63,63,103,1,t3.png,t1.png,2,0.056466,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.483675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,64,64,63,1,t2.png,t3.png,1,0.909,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.49622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,65,65,9,1,t4.png,t5.png,1,0.9,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.434425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,66,66,52,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.85277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,67,67,8,1,t3.png,t2.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.330625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,68,68,75,1,t1.png,t1.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.77627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,69,69,49,1,t4.png,t5.png,1,0.9,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,70,70,10,1,t2.png,t3.png,1,0.90855,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.579615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,71,71,86,1,t3.png,t1.png,2,0.056466,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.397125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,72,72,54,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.28782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,73,73,116,1,t5.png,t4.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.505665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,74,74,16,1,t5.png,t4.png,1,0.9,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.304785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,75,75,32,1,t4.png,t5.png,1,0.90025,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.406915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Correct!,0,76,76,46,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.384185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,77,77,69,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.40278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,78,78,38,1,t3.png,t1.png,2,0.056466,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.447275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,79,79,102,1,t4.png,t2.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.428215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,80,80,29,1,t5.png,t5.png,0,0.97829,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.52192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,a,Incorrect,0,81,81,61,1,t1.png,t4.png,3,0.0000131,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.49003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Too slow :(,0,82,82,40,1,t1.png,t5.png,4,9.55E-11,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Correct!,0,83,83,115,1,t2.png,t4.png,2,0.059078,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.402075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,l,Incorrect,0,84,84,34,1,t5.png,t4.png,1,0.9,19,female,2020-10-13_20h20.57.075,torte-q,2020.1.3,Win32,60,0.53454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
